Ind,authors,title,year,is_cited_own_paper,is_of_interest
94,Tomoki Ozawa; Bruno Mera,Relations between topology and the quantum metric for Chern insulators,2021,False,True
95,Dominic V. Else; Sheng-Jie Huang; Abhinav Prem; Andrey Gromov,Quantum many-body topology of quasicrystals,2021,False,True
96,P. I. C. Caneda; G. Menezes,Reduced quantum electrodynamics in curved space,2021,False,True
97,Harald Reiss,An Attempt to Improve Understanding of the Physics behind Superconductor Phase Transitions and Stability,2021,False,True
98,Bruno Mera; Tomoki Ozawa,"K\""ahler geometry and Chern insulators -- relations between topology and the quantum metric",2021,False,True
99,Lucas Daguerre; Raimel Medina; Mario Solis; Gonzalo Torroba,Aspects of quantum information in finite density field theory,2021,False,True
100,Marco Bardoscia; Paolo Barucca; Stefano Battiston; Fabio Caccioli; Giulio Cimini; Diego Garlaschelli; Fabio Saracco; Tiziano Squartini; Guido Caldarelli,The Physics of Financial Networks,2021,False,True
101,Ashkan Shekaari; Mahmoud Jafari,Temperature as perturbation in quantum mechanics,2021,False,True
102,Nirmalya Kajuri,Lectures on bulk reconstruction,2021,False,True
103,Neven Bilić; Julio C. Fabris,Analog dual to a 2+1-dimensional holographic superconductor,2021,False,True
104,Jason Bennett,A pedagogical review of gravity as a gauge theory,2021,False,True
105,Jacopo De Nardis; Benjamin Doyon; Marko Medenjak; Miłosz Panfil,Correlation functions and transport coefficients in generalised hydrodynamics,2022,False,True
106,Abhay Ashtekar; Eugenio Bianchi,A Short Review of Loop Quantum Gravity,2021,False,True
107,Silvia Pappalardi; Jorge Kurchan,Low temperature quantum bounds on simple models,2022,False,True
108,M. Mitrano; A. A. Husain; S. Vig; A. Kogar; M. S. Rak; S. I. Rubeck; J. Schmalian; B. Uchoa; J. Schneeloch; R. Zhong; G. D. Gu; P. Abbamonte,Anomalous density fluctuations in a strange metal,2018,True,True
109,Benoît Douçot; Ayan Mukhopadhyay; Giuseppe Policastro; Sutapa Samanta,Linear-in-$T$ resistivity from semiholographic non-Fermi liquid models,2021,False,True
