,0,1,2,3,concat_topics
Benoît_Douçot,1,3,8,9,1 3 8 9
Ayan_Mukhopadhyay,1,3,8,9,1 3 8 9
Sutapa_Samanta,1,3,8,9,1 3 8 9
Ashley_Milsted,1,7,8,12,1 7 8 12
Guifre_Vidal,1,4,8,12,1 4 8 12
J._Ayres,3,6,7,9,3 6 7 9
M._Berben,3,7,9,11,3 7 9 11
M._Culo,3,6,7,9,3 6 7 9
Y._-T._Hsu,3,6,7,9,3 6 7 9
E._van_Heumen,3,6,7,9,3 6 7 9
Y._Huang,3,6,7,9,3 6 7 9
J._Zaanen,1,8,9,11,1 8 9 11
T._Kondo,3,6,7,9,3 6 7 9
T._Takeuchi,3,6,7,9,3 6 7 9
J._R._Cooper,3,6,7,9,3 6 7 9
C._Putzke,3,6,7,9,3 6 7 9
S._Friedemann,3,6,7,9,3 6 7 9
A._Carrington,3,6,7,9,3 6 7 9
N._E._Hussey,3,7,9,11,3 7 9 11
C._W._J._Beenakker,6,9,10,11,6 9 10 11
Robin_Karlsson,1,6,8,9,1 6 8 9
Andrei_Parnachev,1,3,8,9,1 3 8 9
Valentina_Prilepina,1,6,8,9,1 6 8 9
Samuel_Valach,1,6,8,9,1 6 8 9
Wen-Kun_Luo,2,5,6,8,2 5 6 8
Cheng-Yong_Zhang,2,5,6,8,2 5 6 8
Peng_Liu,2,3,7,8,2 3 7 8
Chao_Niu,2,5,8,9,2 5 8 9
Bin_Wang,2,5,8,10,2 5 8 10
Arnab_Kundu,1,4,7,8,1 4 7 8
Youka_Kaku,1,2,6,8,1 2 6 8
Keiju_Murata,1,4,6,8,1 4 6 8
Jun_Tsujimura,1,2,6,8,1 2 6 8
Horacio_Casini,4,7,8,9,4 7 8 9
Marina_Huerta,4,7,8,9,4 7 8 9
Yoshimasa_Hidaka,3,4,6,7,3 4 6 7
Shi_Pu,1,4,6,7,1 4 6 7
Qun_Wang,1,4,6,7,1 4 6 7
Di-Lun_Yang,6,7,9,10,6 7 9 10
Jay_Armas,1,2,9,11,1 2 9 11
Filippo_Camilloni,1,5,6,9,1 5 6 9
Tsuneya_Yoshida,1,9,10,12,1 9 10 12
Tomonari_Mizoguchi,1,9,10,12,1 9 10 12
Yasuhiro_Hatsugai,1,3,10,12,1 3 10 12
Sidney_Coleman,5,7,11,12,5 7 11 12
Jan_Zaanen,3,7,9,10,3 7 9 10
Patrik_Novosad,1,2,5,11,1 2 5 11
Saurya_Das,1,4,5,7,1 4 5 7
Sourav_Sur,1,4,5,7,1 4 5 7
Debanjan_Chowdhury,3,7,9,10,3 7 9 10
Antoine_Georges,1,3,9,10,1 3 9 10
Olivier_Parcollet,1,5,9,10,1 5 9 10
Badis_Ydri,2,4,7,12,2 4 7 12
Lucas_Hackl,1,4,8,11,1 4 8 11
Alexander_Jahn,4,7,9,10,4 7 9 10
Jens_Eisert,1,4,7,8,1 4 7 8
Aristomenis_Donos,1,2,3,9,1 2 3 9
Polydoros_Kailidis,1,2,3,9,1 2 3 9
Christiana_Pantelidou,1,2,9,11,1 2 9 11
Ghanashyam_Date,1,6,7,9,1 6 7 9
Ryan_Requist,1,4,7,11,1 4 7 11
Bowen_Chen,2,4,8,12,2 4 8 12
Bartlomiej_Czech,1,2,8,11,1 2 8 11
Zi-zhi_Wang,2,4,8,12,2 4 8 12
Ali_H._Chamseddine,1,10,11,12,1 10 11 12
Alain_Connes,1,10,11,12,1 10 11 12
Walter_D._van_Suijlekom,1,2,6,12,1 2 6 12
Pavel_Kovtun,1,5,6,9,1 5 6 9
R._Arouca,3,7,9,10,3 7 9 10
Andrea_Cappelli,7,9,10,11,7 9 10 11
T._H._Hansson,7,9,10,11,7 9 10 11
M._Le_Delliou,1,2,5,11,1 2 5 11
Dmitry_Ponomarev,1,6,9,12,1 6 9 12
L._F._Cugliandolo,1,7,10,12,1 7 10 12
M._Mueller,1,7,10,12,1 7 10 12
John_Preskill,1,4,7,12,1 4 7 12
G._E._Volovik,2,7,8,11,2 7 8 11
Luca_D'Alessio,1,4,7,12,1 4 7 12
Yariv_Kafri,1,4,7,12,1 4 7 12
Anatoli_Polkovnikov,1,4,5,7,1 4 5 7
Marcos_Rigol,1,4,9,12,1 4 9 12
Sam_Kitchen,1,2,5,11,1 2 5 11
Toby_Wiseman,1,2,3,10,1 2 3 10
John_F._Donoghue,1,6,7,9,1 6 7 9
Garry_Goldstein,1,4,9,12,1 4 9 12
Natan_Andrei,1,3,4,9,1 3 4 9
Ignacio_García-Mata,1,4,7,12,1 4 7 12
Rodolfo_A._Jalabert,1,4,7,12,1 4 7 12
Diego_A._Wisniacki,1,4,7,12,1 4 7 12
Xinyi_Chen-Lin,1,4,5,9,1 4 5 9
Luca_V._Delacrétaz,3,5,9,11,3 5 9 11
Sean_A._Hartnoll,3,7,8,9,3 7 8 9
Matteo_Broccoli,1,6,8,9,1 6 8 9
Gary_T._Horowitz,1,2,8,9,1 2 8 9
Maciej_Kolanowski,1,2,6,12,1 2 6 12
Jorge_E._Santos,1,2,5,9,1 2 5 9
